event,gender,category,place,name,school,school_abbr,year,result,points,is_relay
Hammer,W,throw,8.0,Chloe Lindeman,Wisconsin,WISC,SR,67.82m222-6,1,False
Hammer,W,throw,9.0,Emilia Kolokotroni,Harvard,HARV,SO,67.82m222-6,0,False
Hammer,W,throw,10.0,Valentina Savva,California,CAL,FR,66.84m219-3,0,False
Hammer,W,throw,11.0,Mariana Pestana,Virginia Tech,VT,SO,66.41m217-10,0,False
Hammer,W,throw,12.0,Monique Hardy,Kansas State,KSST,SR,65.17m213-9,0,False
Hammer,W,throw,13.0,Kali Terza,Kennesaw State,KENN,JR,64.98m213-2,0,False
Hammer,W,throw,14.0,Annika Kelly,Virginia,UVA,SR,64.87m212-10,0,False
Hammer,W,throw,15.0,Chioma Njoku,Maryland,UMD,SR,64.86m212-9,0,False
Hammer,W,throw,16.0,Paola Bueno,Liberty,LIB,JR,64.78m212-6,0,False
Hammer,W,throw,17.0,Marie Rougetet,Miss State,MSST,FR,64.66m212-2,0,False
Hammer,W,throw,18.0,Audrey Jacobs,California,CAL,SO,63.74m209-1,0,False
Hammer,W,throw,19.0,Kassidy Gallagher,Oklahoma,OU,SR,63.47m208-3,0,False
Hammer,W,throw,20.0,Kennedy Clarke,Oklahoma,OU,SO,63.36m207-10,0,False
Hammer,W,throw,21.0,Kajsa Borrman,Colorado State,COST,SO,63.19m207-3,0,False
Hammer,W,throw,22.0,Emily Fink,Army West Point,ARMY,SR,62.20m204-1,0,False
Hammer,W,throw,23.0,Kate Powers,Kentucky,UK,SO,60.10m197-2,0,False
Hammer,W,throw,,Skylar Soli,Ole Miss,MISS,SO,X,0,False
Javelin,W,throw,1.0,Valentina Barrios Bornacelli,Missouri,MIZZ,JR,62.00m203-5,10,False
Javelin,W,throw,2.0,Manuela Rotundo,Georgia,UGA,FR,60.35m198-0,8,False
Javelin,W,throw,3.0,Irene Jepkemboi,TCU,TCU,SO,60.31m197-10,6,False
Javelin,W,throw,4.0,Lianna Davidson,Georgia,UGA,SR,59.03m193-8,5,False
Javelin,W,throw,5.0,Maddie Harris,Nebraska,NEB,SR,58.36m191-6,4,False
Javelin,W,throw,6.0,Jana van Schalkwyk,UCLA,UCLA,SR,57.07m187-3,3,False
Javelin,W,throw,7.0,McKyla Van Der Westhuizen,Rice,RICE,JR,56.65m185-10,2,False
Javelin,W,throw,8.0,Kelsi Oldroyd,Utah Valley,UVU,SR,56.37m184-11,1,False
Javelin,W,throw,9.0,Kate Joyce,North Carolina,UNC,SR,56.03m183-10,0,False
Javelin,W,throw,10.0,Shea Greene,Princeton,PRIN,JR,55.64m182-6,0,False
Javelin,W,throw,11.0,Lilly Urban,Nevada,NEV,SO,55.27m181-4,0,False
Javelin,W,throw,12.0,Evelyn Bliss,Bucknell,BUCK,SO,55.09m180-9,0,False
Javelin,W,throw,13.0,Elizabeth Korczak,Iowa,IOWA,JR,53.18m174-6,0,False
Javelin,W,throw,14.0,Maria Bienvenu,TCU,TCU,SR,52.87m173-5,0,False
Javelin,W,throw,15.0,Eniko Sara,Nebraska,NEB,SR,52.18m171-2,0,False
Javelin,W,throw,16.0,Megan Albamonti,Alabama,BAMA,SR,50.91m167-0,0,False
Javelin,W,throw,17.0,Emma Yungeberg,Michigan,MICH,JR,50.88m166-11,0,False
Javelin,W,throw,18.0,Erin McMeniman,Georgia,UGA,SR,50.11m164-5,0,False
Javelin,W,throw,19.0,Arndis Oskarsdottir,FIU,FIU,FR,49.96m163-11,0,False
Javelin,W,throw,20.0,Sara Sanders,Oregon State,ORST,SR,48.47m159-0,0,False
Javelin,W,throw,21.0,Deisiane Teixeira,Miami (Fla.),MIAF,SR,48.03m157-7,0,False
Javelin,W,throw,22.0,Taylor Kesner,Wisconsin,WISC,JR,47.43m155-7,0,False
Javelin,W,throw,23.0,Trinity Spooner,LSU,LSU,SO,46.05m151-1,0,False
Javelin,W,throw,24.0,Beatriz Mora Herencia,Albany,ALBY,FR,43.83m143-9,0,False
Heptathlon,W,multi,1.0,Jadin O'Brien,Notre Dame,ND,SR,13.33,10,False
Heptathlon,W,multi,2.0,Alaina Brady,Notre Dame,ND,SR,13.41,8,False
Heptathlon,W,multi,3.0,Sofia Cosculluela,Washington,WASH,FR,13.48,6,False
Heptathlon,W,multi,4.0,Sofia Iakushina,Texas A&M,TAMU,FR,13.53,5,False
Heptathlon,W,multi,5.0,Izzy Goudros,Harvard,HARV,SR,13.61,4,False
Heptathlon,W,multi,6.0,Pippi Lotta Enok,Oklahoma,OU,JR,13.65(13.645),3,False
Heptathlon,W,multi,7.0,Juliette Laracuente-Huebner,Cincinnati,CINC,SO,13.65(13.646),2,False
Heptathlon,W,multi,8.0,Claudine Raud-Gumiel,Long Beach St.,LBST,SR,13.66,1,False
Heptathlon,W,multi,9.0,Jalen Elrod,Purdue,PURD,SR,13.72,0,False
Heptathlon,W,multi,10.0,Maddie Pitts,Penn State,PSU,JR,13.74,0,False
Heptathlon,W,multi,11.0,Melissa Wullschleger,Illinois,ILL,FR,13.75,0,False
Heptathlon,W,multi,12.0,Sydney Johnson,UCLA,UCLA,SR,13.79,0,False
Heptathlon,W,multi,13.0,Maresa Hense,Connecticut,CONN,FR,13.86,0,False
Heptathlon,W,multi,14.0,Shelby Grover,Kent State,KENT,SO,13.90,0,False
Heptathlon,W,multi,15.0,Annie Molenhouse,Oklahoma State,OKST,JR,13.94,0,False
Heptathlon,W,multi,16.0,Annika Williams,Oregon,UO,SR,13.96,0,False
Heptathlon,W,multi,17.0,Kenli Nettles,Ball State,BALL,SR,14.02,0,False
Heptathlon,W,multi,18.0,Mia Lien,UTSA,UTSA,FR,14.08,0,False
Heptathlon,W,multi,19.0,Ella Spaulding,Fresno State,FRES,SO,14.09,0,False
Heptathlon,W,multi,20.0,Katelyn Adel,Alabama,BAMA,FR,14.12,0,False
Heptathlon,W,multi,21.0,Lucy Fellows,Louisville,LOU,SO,14.23(14.224),0,False
Heptathlon,W,multi,22.0,Destiny Masters,Wichita State,WICH,SR,14.23(14.228),0,False
Heptathlon,W,multi,23.0,Lucie Kienast,Illinois,ILL,FR,14.34,0,False
Heptathlon,W,multi,24.0,Clare McNamara,Michigan,MICH,SR,14.96,0,False
