Event,Athlete,Country,Finish Place,World Ranking,World Ranking Rank,Event type,Medal,No World Rank
Javelin Throw Women,Yulenmis AGUILAR,ESP,6,35.0,12,Throws,False,False
Javelin Throw Women,Kathryn MITCHELL,AUS,7,17.0,7,Throws,False,False
Javelin Throw Women,Maria ANDREJCZYK,POL,8,11.0,4,Throws,False,False
Javelin Throw Women,Elina TZENGKO,GRE,9,23.0,9,Throws,False,False
Javelin Throw Women,Momone UEDA,JPN,10,25.0,10,Throws,False,False
Javelin Throw Women,Marie-Therese OBST,NOR,11,18.0,8,Throws,False,False
Javelin Throw Women,Mackenzie LITTLE,AUS,12,2.0,2,Throws,False,False
Discus Throw Men,Roje STONA,JAM,1,11.0,8,Throws,True,False
Discus Throw Men,Mykolas ALEKNA,LTU,2,1.0,1,Throws,True,False
Discus Throw Men,Matthew DENNY,AUS,3,3.0,3,Throws,True,False
Discus Throw Men,Kristjan ČEH,SLO,4,2.0,2,Throws,False,False
Discus Throw Men,Lukas WEISSHAIDINGER,AUT,5,,12,Throws,False,True
Discus Throw Men,Clemens PRÜFER,GER,6,13.0,9,Throws,False,False
Discus Throw Men,Daniel STÅHL,SWE,7,4.0,4,Throws,False,False
Discus Throw Men,Andrius GUDŽIUS,LTU,8,6.0,5,Throws,False,False
Discus Throw Men,Ralford MULLINGS,JAM,9,24.0,11,Throws,False,False
Discus Throw Men,Traves SMIKLE,JAM,10,9.0,6,Throws,False,False
Discus Throw Men,Alin Alexandru FIRFIRICA,ROU,11,16.0,10,Throws,False,False
Discus Throw Men,Alex ROSE,SAM,12,10.0,7,Throws,False,False
Discus Throw Women,Valarie ALLMAN,USA,1,1.0,1,Throws,True,False
Discus Throw Women,Bin FENG,CHN,2,2.0,2,Throws,True,False
Discus Throw Women,Sandra ELKASEVIĆ,CRO,3,3.0,3,Throws,True,False
Discus Throw Women,Marike STEINACKER,GER,4,11.0,6,Throws,False,False
Discus Throw Women,Vanessa KAMGA,SWE,5,28.0,12,Throws,False,False
Discus Throw Women,Claudine VITA,GER,6,13.0,8,Throws,False,False
Discus Throw Women,Jorinde VAN KLINKEN,NED,7,5.0,4,Throws,False,False
Discus Throw Women,Daisy OSAKUE,ITA,8,12.0,7,Throws,False,False
Discus Throw Women,Irina RODRIGUES,POR,9,18.0,10,Throws,False,False
Discus Throw Women,Kristin PUDENZ,GER,10,7.0,5,Throws,False,False
Discus Throw Women,Alexandra EMILIANOV,MDA,11,26.0,11,Throws,False,False
Discus Throw Women,Melina ROBERT-MICHON,FRA,12,15.0,9,Throws,False,False
Hammer Throw Men,Ethan KATZBERG,CAN,1,1.0,1,Throws,True,False
Hammer Throw Men,Bence HALÁSZ,HUN,2,5.0,5,Throws,True,False
Hammer Throw Men,Mykhaylo KOKHAN,UKR,3,3.0,3,Throws,True,False
Hammer Throw Men,Eivind HENRIKSEN,NOR,4,10.0,8,Throws,False,False
Hammer Throw Men,Paweł FAJDEK,POL,5,4.0,4,Throws,False,False
Hammer Throw Men,Rudy WINKLER,USA,6,7.0,6,Throws,False,False
Hammer Throw Men,Wojciech NOWICKI,POL,7,2.0,2,Throws,False,False
Hammer Throw Men,Yann CHAUSSINAND,FRA,8,8.0,7,Throws,False,False
Hammer Throw Men,Rowan HAMILTON,CAN,9,13.0,10,Throws,False,False
Hammer Throw Men,Merlin HUMMEL,GER,10,12.0,9,Throws,False,False
Hammer Throw Men,Thomas MARDAL,NOR,11,27.0,12,Throws,False,False
Hammer Throw Men,Christos FRANTZESKAKIS,GRE,12,16.0,11,Throws,False,False
Hammer Throw Women,Camryn ROGERS,CAN,1,1.0,1,Throws,True,False
Hammer Throw Women,Annette Nneka ECHIKUNWOKE,USA,2,11.0,9,Throws,True,False
Hammer Throw Women,Jie ZHAO,CHN,3,9.0,7,Throws,True,False
Hammer Throw Women,Anita WŁODARCZYK,POL,4,10.0,8,Throws,False,False
Hammer Throw Women,Silja KOSONEN,FIN,5,5.0,3,Throws,False,False
Hammer Throw Women,Krista TERVO,FIN,6,32.0,12,Throws,False,False
Hammer Throw Women,Hanna SKYDAN,AZE,7,7.0,5,Throws,False,False
Hammer Throw Women,Rosa Andreina RODRÍGUEZ,VEN,8,15.0,11,Throws,False,False
Hammer Throw Women,Bianca Florentina GHELBER,ROU,9,6.0,4,Throws,False,False
Hammer Throw Women,Katrine Koch JACOBSEN,DEN,10,12.0,10,Throws,False,False
Hammer Throw Women,DeAnna PRICE,USA,11,3.0,2,Throws,False,False
Hammer Throw Women,Sara FANTINI,ITA,12,8.0,6,Throws,False,False
Shot Put Men,Ryan CROUSER,USA,1,1.0,1,Throws,True,False
Shot Put Men,Joe KOVACS,USA,2,2.0,2,Throws,True,False
Shot Put Men,Rajindra CAMPBELL,JAM,3,13.0,9,Throws,True,False
Shot Put Men,Payton OTTERDAHL,USA,4,5.0,5,Throws,False,False
Shot Put Men,Leonardo FABBRI,ITA,5,3.0,3,Throws,False,False
Shot Put Men,Chukwuebuka Cornnell ENEKWECHI,NGR,6,8.0,7,Throws,False,False
Shot Put Men,Jacko GILL,NZL,7,6.0,6,Throws,False,False
Shot Put Men,Uziel MUÑOZ,MEX,8,16.0,11,Throws,False,False
Shot Put Men,Marcus THOMSEN,NOR,9,26.0,12,Throws,False,False
Shot Put Men,Tomáš STANĚK,CZE,10,14.0,10,Throws,False,False
Shot Put Men,Zane WEIR,ITA,11,10.0,8,Throws,False,False
Shot Put Men,Tom WALSH,NZL,,4.0,4,Throws,False,False
Shot Put Women,Yemisi OGUNLEYE,GER,1,8.0,5,Throws,True,False
Shot Put Women,Maddison-Lee WESCHE,NZL,2,7.0,4,Throws,True,False
Shot Put Women,Jiayuan SONG,CHN,3,10.0,6,Throws,True,False
Shot Put Women,Jaida ROSS,USA,4,13.0,8,Throws,False,False
Shot Put Women,Lijiao GONG,CHN,5,3.0,2,Throws,False,False
Shot Put Women,Jessica SCHILDER,NED,6,4.0,3,Throws,False,False
Shot Put Women,Fanny ROOS,SWE,7,12.0,7,Throws,False,False
Shot Put Women,Jessica INCHUDE,POR,8,21.0,11,Throws,False,False
Shot Put Women,Alina KENZEL,GER,9,22.0,12,Throws,False,False
Shot Put Women,Axelina JOHANSSON,SWE,10,18.0,10,Throws,False,False
Shot Put Women,Raven SAUNDERS,USA,11,16.0,9,Throws,False,False
Shot Put Women,Sarah MITTON,CAN,12,2.0,1,Throws,False,False
