place_overall,place_gender,place_division,name,idp,team,bib,half,finish_net,finish_gun
1,1,1,"Lemma, Sisay",9TGHS6FF19F0A3,–,2,01:00:19,02:06:17,02:06:17
37,1,1,"Obiri, Hellen",9TGHS6FF19F086,–,101,01:12:33,02:22:37,02:22:37
84,1,–,"Montgomery, Ryan",9TGHS6FF19D40A,–,492,01:13:53,02:27:45,02:27:51
2,2,2,"Esa, Mohamed",9TGHS6FF19F78C,–,8,01:02:16,02:06:58,02:06:58
39,2,2,"Lokedi, Sharon",9TGHS6FF19F7A9,–,121,01:12:34,02:22:45,02:22:45
135,2,–,"Parts, Winter",9TGHS6FF1A16A0,–,551,01:12:48,02:31:08,02:31:14
3,3,3,"Chebet, Evans",9TGHS6FF19F090,–,1,01:02:08,02:07:22,02:07:22
40,3,1,"Kiplagat, Edna",9TGHS6FF19F08B,–,110,01:12:35,02:23:21,02:23:21
231,3,–,"Eaton, Kassian",9TGHS6FF1A0D74,Somerville Road Runners,703,01:17:32,02:34:51,02:35:04
4,4,4,"Korir, John",9TGHS6FF19F09E,–,7,01:02:08,02:07:40,02:07:40
42,4,3,"Diriba, Buze",9TGHS6FF19F7A8,–,119,01:12:34,02:24:04,02:24:04
1210,4,–,"Fernandez, Josh",9TGHS6FF1A15F5,–,4513,01:21:29,02:49:28,02:52:18
5,5,5,"Korir, Albert",9TGHS6FF19F091,–,14,01:02:08,02:07:47,02:07:47
44,5,4,"Teferi, Senbere",9TGHS6FF19F7A3,–,108,01:12:34,02:24:04,02:24:04
2155,5,–,"Caswell, Jacob",9TGHS6FF19AEF0,Front Runners New York,906,01:23:18,02:56:36,02:56:49
6,6,6,"Mpofu, Isaac",9TGHS6FF19F790,–,12,01:03:06,02:08:17,02:08:17
46,6,5,"Ngugi, Mary",9TGHS6FF19F08F,–,111,01:12:33,02:24:24,02:24:24
2470,6,–,"Ravichandran, Kae",9TGHS6FF19D427,–,1019,01:24:26,02:58:16,02:58:45
7,7,7,"Albertson, Cj",9TGHS6FF19F0A0,–,25,01:03:52,02:09:53,02:09:53
50,7,6,"Edesa, Workenesh",9TGHS6FF19F7A2,–,107,01:12:34,02:24:47,02:24:47
2838,7,–,"Bugarin, Steven",9TGHS6FF1A0CE9,–,3297,01:27:51,02:59:46,03:02:40
