place_overall,place_gender,place_division,name,idp,team,bib,half,finish_net,finish_gun
40,1,1,"Kiplagat, Edna (KEN)",9TGHS6FF145D17,–,101,01:14:13,02:25:09,02:25:09
1,1,1,"Kipruto, Benson (KEN)",9TGHS6FF145C88,–,4,01:06:22,02:09:51,02:09:51
2,2,2,"Berhanu, Lemi (ETH)",9TGHS6FF145C8A,–,3,01:06:23,02:10:37,02:10:37
41,2,1,"Ngugi, Mary (KEN)",9TGHS6FF145CF3,–,119,01:14:12,02:25:20,02:25:20
3,3,3,"Yimer, Jemal (ETH)",9TGHS6FF145E04,–,21,01:06:21,02:10:38,02:10:38
43,3,2,"Ngige, Monicah (KEN)",9TGHS6FF145DD9,–,122,01:14:12,02:25:32,02:25:32
4,4,4,"Ayana, Tsedat (ETH)",9TGHS6FF145E05,–,12,01:06:22,02:10:47,02:10:47
45,4,3,"Gudeta, Netsanet (ETH)",9TGHS6FF145E1C,–,126,01:14:12,02:26:09,02:26:09
5,5,5,"Barsoton, Leonard (KEN)",9TGHS6FF145DFD,–,22,01:06:22,02:11:11,02:11:11
52,5,4,"Rojas, Nell (USA)",9TGHS6FF145E19,–,120,01:14:12,02:27:12,02:27:12
6,6,6,"Teshager, Bayelign (ETH)",9TGHS6FF145E03,–,18,01:06:22,02:11:16,02:11:16
55,6,5,"Edesa, Workenesh (ETH)",9TGHS6FF145D65,–,105,01:14:12,02:27:38,02:27:38
62,7,6,"Baysa, Atsede (ETH)",9TGHS6FF145D66,–,110,01:14:12,02:28:04,02:28:04
7,7,7,"Bennie, Colin (USA)",9TGHS6FF145DFA,–,23,01:06:21,02:11:26,02:11:26
8,8,8,"Debela, Dejene (ETH)",9TGHS6FF145E01,–,7,01:06:22,02:11:38,02:11:38
71,8,7,"Eshetu, Biruktayit (ETH)",9TGHS6FF145E12,–,114,01:14:12,02:29:05,02:29:05
72,9,8,"Abayechew, Tigist (ETH)",9TGHS6FF145DF7,–,115,01:14:13,02:29:06,02:29:06
9,9,9,"Chebet, Wilson (KEN)",9TGHS6FF145C87,–,5,01:06:21,02:11:40,02:11:40
82,10,9,"Rotich, Caroline (KEN)",9TGHS6FF145CF6,–,117,01:14:12,02:29:54,02:29:54
10,10,10,"Albertson, Cj (USA)",9TGHS6FF145FE8,–,29,01:04:08,02:11:44,02:11:44
87,11,10,"Tabb, Elaina (USA)",9TGHS6FF145CEF,Boston Athletic Association,131,01:14:52,02:30:33,02:30:33
11,11,11,"Kandie, Felix (KEN)",9TGHS6FF145C8C,–,10,01:06:22,02:11:48,02:11:48
93,12,11,"Lindwurm, Dakotah (USA)",9TGHS6FF145DF4,–,125,01:14:14,02:31:04,02:31:04
12,12,12,"Robertson, Jake (NZL)",9TGHS6FF145DFB,–,17,01:06:22,02:11:56,02:11:56
13,13,13,"Kirui, Geoffrey (KEN)",9TGHS6FF145C86,–,14,01:06:21,02:12:00,02:12:00
113,13,12,"Dibaba, Mare (ETH)",9TGHS6FF145CF0,–,103,01:14:12,02:32:29,02:32:29
122,14,13,"Chepkoech, Caroline (KEN)",9TGHS6FF145CEE,–,121,01:14:11,02:33:03,02:33:03
14,14,14,"Mengstu, Asefa (ETH)",9TGHS6FF145DFF,–,2,01:06:22,02:12:11,02:12:11
15,15,15,"Gezahegn, Kelkile (ETH)",9TGHS6FF145E22,–,8,01:06:22,02:12:37,02:12:37
126,15,14,"Sullivan, Susanna (USA)",9TGHS6FF145DDD,–,137,01:14:44,02:33:22,02:33:22
166,16,15,"Linden, Desiree (USA)",9TGHS6FF145B70,–,112,01:14:59,02:35:25,02:35:25
16,16,16,"Fauble, Scott (USA)",9TGHS6FF145B71,–,20,01:06:21,02:13:47,02:13:47
17,17,17,"Smith, Scott (USA)",9TGHS6FF1481EB,–,24,01:06:22,02:14:29,02:14:29
176,17,16,"Stoner, Paige (USA)",9TGHS6FF145E1A,–,123,01:14:27,02:35:55,02:35:55
18,18,18,"Nelson, Harvey (USA)",9TGHS6FF145FDE,–,38,01:06:22,02:14:47,02:14:47
187,18,17,"Spencer, Emma (USA)",9TGHS6FF145FE3,–,143,01:18:32,02:36:33,02:36:33
195,19,18,"Phillips, Caitlin (USA)",9TGHS6FF145FD2,–,139,01:18:32,02:37:01,02:37:01
19,19,19,"Kiprotich, Filex (KEN)",9TGHS6FF145E00,–,6,01:06:21,02:15:03,02:15:03
20,20,20,"Mcdonald, Matthew (USA)",9TGHS6FF145CEA,Boston Athletic Association,32,01:06:21,02:15:47,02:15:47
198,20,19,"Dionne, Hilary (USA)",9TGHS6FF145FE5,–,135,01:18:32,02:37:06,02:37:06
203,21,20,"Kaneshige, Shiho (JPN)",9TGHS6FF145E1B,–,124,01:14:51,02:37:12,02:37:12
21,21,21,"Hogan, Paul (USA)",9TGHS6FF145CEB,Boston Athletic Association,40,01:06:22,02:15:51,02:15:51
22,22,22,"Buchanan, Reid (USA)",9TGHS6FF145E10,–,30,01:06:21,02:16:07,02:16:07
209,22,21,"Pomaranski, Andrea (USA)",9TGHS6FF145DDA,–,145,01:17:19,02:37:27,02:37:27
23,23,23,"Maiyo, Augustus (USA)",9TGHS6FF145CEC,–,26,01:06:21,02:16:27,02:16:27
219,23,22,"Kebede, Sutume (ETH)",9TGHS6FF145D4B,–,106,01:14:35,02:37:45,02:37:45
230,24,23,"Kiprop, Helah (KEN)",9TGHS6FF145D47,–,109,01:14:13,02:38:05,02:38:05
24,24,1,"Abdirahman, Abdi (USA)",9TGHS6FF145E07,–,19,01:06:47,02:19:23,02:19:23
25,25,24,"Toth, Thomas (CAN)",9TGHS6FF145DE9,Boston Athletic Association,43,01:08:26,02:21:01,02:21:01
247,25,2,"Mcmahan, Dot (USA)",9TGHS6FF145FDB,–,134,01:19:06,02:38:45,02:38:45
249,26,24,"Zarina, Nina (RUS)",9TGHS6FF145FDA,Jeffrey Redfern,149,01:17:41,02:38:46,02:38:46
26,26,25,"Ndhlovu, Pardon (ZIM)",9TGHS6FF145FE1,–,44,01:07:07,02:21:04,02:21:04
254,27,25,"Bogantes Gonzalez, Diana (CRC)",9TGHS6FF1470DE,–,857,01:15:42,02:38:59,02:39:02
27,27,26,"Stinson, Parker (USA)",9TGHS6FF145E0F,–,28,01:06:21,02:21:21,02:21:21
269,28,26,"Moran, Brittany (CAN)",9TGHS6FF145DDB,–,142,01:18:32,02:39:29,02:39:29
28,28,27,"Labonte, Patrice (CAN)",9TGHS6FF1448FD,–,281,01:08:53,02:21:27,02:26:45
29,29,28,"Harvey, Brian (USA)",9TGHS6FF145DEA,Boston Athletic Association,45,01:09:58,02:21:35,02:21:35
283,29,27,"Griffey, Julia (USA)",9TGHS6FF145E23,–,128,01:16:14,02:39:53,02:39:53
293,30,28,"Hyland, Rachel (USA)",9TGHS6FF145FE9,Boston Athletic Association,144,01:18:32,02:40:09,02:40:09
30,30,29,"Wykes, Dylan (CAN)",9TGHS6FF145C9B,–,27,01:08:26,02:21:45,02:21:45
31,31,30,"Singh, Nitendra (IND)",9TGHS6FF145DF2,–,37,01:09:59,02:22:01,02:22:01
303,31,29,"Devore, Sydney (USA)",9TGHS6FF145FD9,–,132,01:18:32,02:40:32,02:40:32
304,32,3,"Flanagan, Shalane (USA)",9TGHS6FF145FF1,–,4744,01:21:05,02:40:34,02:40:36
