place_overall,place_gender,place_division,name,idp,team,bib,half,finish_net,finish_gun
1,1,1,"Chebet, Evans (KEN)",9TGHS6FF165CBE,–,4,01:03:26,02:06:51,02:06:51
31,1,1,"Jepchirchir, Peres (KEN)",9TGHS6FF165CD4,–,102,01:09:41,02:21:01,02:21:01
2,2,2,"Cherono, Lawrence (KEN)",9TGHS6FF165CBD,–,5,01:03:27,02:07:21,02:07:21
32,2,2,"Yeshaneh, Ababel (ETH)",9TGHS6FF165CEA,–,109,01:09:41,02:21:05,02:21:05
3,3,3,"Kipruto, Benson (KEN)",9TGHS6FF165C93,–,1,01:03:26,02:07:27,02:07:27
33,3,3,"Ngugi, Mary (KEN)",9TGHS6FF165CCD,–,117,01:10:20,02:21:32,02:21:32
4,4,4,"Geay, Gabriel (TAN)",9TGHS6FF165CD7,–,9,01:03:26,02:07:53,02:07:53
35,4,1,"Kiplagat, Edna (KEN)",9TGHS6FF165CCB,–,101,01:10:20,02:21:40,02:21:40
5,5,5,"Kiptanui, Eric (KEN)",9TGHS6FF165CE7,–,11,01:03:26,02:08:47,02:08:47
37,5,4,"Ngige, Monicah (KEN)",9TGHS6FF165CCE,–,118,01:10:20,02:22:13,02:22:13
6,6,6,"Korir, Albert (KEN)",9TGHS6FF165CDB,–,18,01:03:26,02:08:50,02:08:50
41,6,5,"Cheptoo, Viola (KEN)",9TGHS6FF165CE2,–,110,01:10:20,02:23:47,02:23:47
7,7,7,"Fauble, Scott (USA)",9TGHS6FF165CBA,–,19,01:04:26,02:08:52,02:08:52
48,7,6,"Jepkosgei, Joyciline (KEN)",9TGHS6FF165CD2,–,103,01:09:41,02:24:43,02:24:43
8,8,8,"Yimer, Jemal (ETH)",9TGHS6FF165CC1,–,25,01:03:26,02:08:58,02:08:58
54,8,7,"Azimeraw, Degitu (ETH)",9TGHS6FF165CD5,–,104,01:10:20,02:25:23,02:25:23
9,9,9,"Kibet, Elkanah (USA)",9TGHS6FF165CC5,–,28,01:03:25,02:09:07,02:09:07
55,9,8,"Purdue, Charlotte (GBR)",9TGHS6FF165CE3,–,112,01:11:39,02:25:26,02:25:26
10,10,10,"Atanaw, Kinde (ETH)",9TGHS6FF165BF2,–,57,01:03:26,02:09:16,02:09:16
60,10,9,"Rojas, Nell (USA)",9TGHS6FF165CC9,–,121,01:12:05,02:25:57,02:25:57
11,11,11,"Berhanu, Lemi (ETH)",9TGHS6FF165CBF,–,7,01:03:26,02:09:43,02:09:43
82,11,2,"Elmore, Malindi (CAN)",9TGHS6FF165CE4,–,116,01:12:51,02:27:58,02:27:58
12,12,12,"Yegon, Bethwell (KEN)",9TGHS6FF165CD9,–,14,01:03:25,02:09:44,02:09:44
84,12,10,"Rothstein-Bruce, Stephanie (USA)",9TGHS6FF165CD3,–,122,01:13:16,02:28:02,02:28:02
13,13,13,"Albertson, Cj (USA)",9TGHS6FF165CC6,–,29,01:03:24,02:10:23,02:10:23
103,13,11,"Linden, Desiree (USA)",9TGHS6FF165CC8,–,108,01:13:20,02:28:47,02:28:47
14,14,14,"Mcdonald, Matthew (USA)",9TGHS6FF165CDE,Boston Athletic Association,27,01:04:27,02:10:35,02:10:35
