place_overall,place_gender,place_division,name,idp,team,bib,half,finish_net,finish_gun
1,1,1,"Cherono, Lawrence (KEN)",999999117A73270000124C48,–,2,01:04:29,02:07:57,02:07:57
36,1,1,"Degefa, Worknesh (ETH)",999999117A73270000126B2D,–,F2,01:10:40,02:23:31,02:23:31
2,2,2,"Desisa, Lelisa (ETH)",999999117A73270000124C65,–,6,01:04:30,02:07:59,02:07:59
38,2,2,"Kiplagat, Edna (KEN)",999999117A73270000126B27,–,F4,01:13:08,02:24:13,02:24:13
3,3,3,"Kipkemoi, Kenneth (KEN)",999999117A73270000124C4C,–,7,01:04:31,02:08:07,02:08:07
48,3,3,"Hasay, Jordan (USA)",999999117A73270000124C5B,–,F7,01:13:08,02:25:20,02:25:20
4,4,4,"Kandie, Felix (KEN)",999999117A73270000124C76,–,8,01:04:31,02:08:54,02:08:54
52,4,4,"Assefa, Meskerem (ETH)",999999117A73270000124C4B,–,F6,01:13:08,02:25:40,02:25:40
5,5,5,"Kirui, Geoffrey (KEN)",999999117A73270000124C83,–,11,01:04:28,02:08:55,02:08:55
61,5,5,"Linden, Desiree (USA)",999999117A73270000124C70,–,F1,01:13:09,02:27:00,02:27:00
6,6,6,"Rono, Philemon (KEN)",999999117A73270000124C84,–,12,01:04:29,02:08:57,02:08:57
79,6,6,"Rotich, Caroline (KEN)",999999117A73270000124C57,–,F11,01:13:08,02:28:27,02:28:27
7,7,7,"Fauble, Scott (USA)",999999117A73270000124C68,–,28,01:04:41,02:09:09,02:09:09
81,7,7,"Ngugi, Mary (KEN)",999999117A73270000126B64,–,F24,01:13:08,02:28:33,02:28:33
8,8,8,"Ward, Jared (USA)",999999117A73270000124C3B,–,24,01:04:31,02:09:25,02:09:25
94,8,8,"Eshetu, Biruktayit (ETH)",999999117A73270000126B2C,–,F12,01:13:07,02:29:10,02:29:10
9,9,9,"Talam, Festus (KEN)",999999117A73270000124CA1,–,10,01:04:33,02:09:25,02:09:25
106,9,9,"Flanagan, Lindsay (USA)",999999117A73270000124C69,–,F19,01:14:02,02:30:07,02:30:07
10,10,10,"Kipruto, Benson (KEN)",999999117A73270000126B30,–,15,01:04:36,02:09:53,02:09:53
110,10,10,"Saina, Betsy (KEN)",999999117A73270000124C86,–,F10,01:13:08,02:30:32,02:30:32
11,11,11,"Kibet, Elkanah (USA)",999999117A73270000124C54,–,25,01:04:35,02:11:51,02:11:51
111,11,11,"Mccormack, Fionnuala (IRL)",999999117A73270000124CA7,–,F21,01:14:02,02:30:38,02:30:38
12,12,12,"Inoue, Hiroto (JPN)",999999117A73270000124CB1,–,14,01:04:31,02:11:53,02:11:53
126,12,12,"Cherop, Sharon (KEN)",999999117A73270000126B2F,–,F9,01:13:08,02:31:41,02:31:41
13,13,13,"Maiyo, Augustus (USA)",999999117A73270000126B65,–,36,01:04:41,02:12:40,02:12:40
132,13,1,"Landau, Kate (USA)",999999117A73270000126B32,–,F104,01:14:02,02:31:56,02:31:56
14,14,14,"Mesfun Teklebrhan, Daniel (ERI)",999999117A732700001231AF,–,30,01:04:30,02:13:05,02:13:05
185,14,13,"Belyeu, Bridget (USA)",999999117A73270000122C7A,–,F26,01:15:51,02:34:25,02:34:25
15,15,15,"Biwott, Shadrack (USA)",999999117A73270000126B25,–,27,01:04:41,02:13:11,02:13:11
219,15,14,"Hall, Sara (USA)",999999117A73270000124C6E,–,F14,01:13:16,02:35:34,02:35:34
16,16,16,"El Aaraby, Mohamed Reda (MAR)",999999117A73270000124CA0,–,20,01:04:38,02:13:46,02:13:46
223,16,2,"Dixon, Alyson (GBR)",999999117A73270000124C49,–,F18,01:14:20,02:35:43,02:35:43
17,17,17,"Kawauchi, Yuki (JPN)",999999117A73270000124C3D,–,1,01:06:01,02:15:29,02:15:29
242,17,15,"Wade, Becky (USA)",999999117A73270000124CA8,–,F20,01:14:20,02:36:14,02:36:14
18,18,18,"Sonoda, Hayato (JPN)",999999117A73270000124CB2,–,21,01:04:36,02:15:58,02:15:58
244,18,16,"Dionne, Hilary (USA)",999999117A73270000120E7C,–,F29,01:17:00,02:36:21,02:36:21
19,19,19,"Ritzenhein, Dathan (USA)",999999117A73270000124C37,–,17,01:04:41,02:16:19,02:16:19
256,19,17,"Sellers, Sarah (USA)",999999117A73270000124C47,–,F23,01:15:27,02:36:42,02:36:42
20,20,20,"Gregg, Brendan (USA)",999999117A73270000122153,–,31,01:04:41,02:16:46,02:16:46
285,20,1,"Njuguna, Margaret (KEN)",999999117A7327000011FC03,–,F109,01:16:10,02:38:04,02:38:04
21,21,21,"Mcdonald, Matthew (USA)",999999117A732700001232A4,–,32,01:05:40,02:16:58,02:16:58
287,21,18,"Wetsch, Bria (USA)",999999117A73270000121908,–,F39,01:18:08,02:38:10,02:38:10
22,22,22,"Nadler, Enoch (USA)",999999117A73270000125861,Team Florida Track Club,43,01:07:12,02:17:06,02:17:06
297,22,19,"Pallardy, Kate (USA)",999999117A73270000122C5D,–,F61,01:18:27,02:38:27,02:38:27
23,23,23,"Overall, Scott (GBR)",999999117A73270000124C9E,–,23,01:06:07,02:17:37,02:17:37
324,23,20,"Behm, Mia (USA)",999999117A73270000124A7E,–,2641,01:18:56,02:39:04,02:40:15
24,24,24,"Kizu, Masao (JPN)",999999117A73270000126BCC,–,54,01:05:03,02:17:43,02:17:43
327,24,21,"Pease, Sarah (USA)",999999117A7327000012346B,–,F41,01:17:42,02:39:08,02:39:08
25,25,25,"Payne, Ben (USA)",999999117A732700001258FE,U.S. Air Force,50,01:08:49,02:18:01,02:18:01
382,25,22,"Reed, Kimi (USA)",999999117A732700001260AC,–,F34,01:19:18,02:40:12,02:40:12
26,26,26,"Vangampleare, Stephen (USA)",999999117A73270000126884,–,143,01:09:50,02:18:40,02:18:42
395,26,3,"Grunnagle, Dawn (USA)",999999117A7327000011FF83,–,F105,01:18:09,02:40:26,02:40:26
27,27,1,"Abdirahman, Abdi (USA)",999999117A73270000124CA9,–,19,01:05:03,02:18:56,02:18:56
399,27,23,"Chrisman, Caitlin (USA)",999999117A73270000125A6C,–,F59,01:20:46,02:40:29,02:40:29
28,28,27,"Kai, Hiroki (JPN)",999999117A73270000125850,–,46,01:06:13,02:19:31,02:19:31
411,28,24,"Hashimoto, Nami (JPN)",999999117A73270000125852,–,F30,01:18:09,02:40:41,02:40:41
