place_overall,place_gender,place_division,name,idp,team,bib,half,finish_net,finish_gun
1,1,1,"Kawauchi, Yuki (JPN)",999999117A7326000010C0A5,–,11,01:05:59,02:15:58,02:15:58
143,1,1,"Linden, Desiree (USA)",999999117A7326000010C07A,–,F8,01:19:42,02:39:54,02:39:54
2,2,2,"Kirui, Geoffrey (KEN)",999999117A7326000010C08A,–,1,01:05:59,02:18:23,02:18:23
262,2,2,"Sellers, Sarah (USA)",999999117A73260000109F92,–,F42,01:22:05,02:44:04,02:44:04
3,3,3,"Biwott, Shadrack (USA)",999999117A7326000010C090,–,25,01:06:00,02:18:35,02:18:35
272,3,1,"Duchene, Krista (CAN)",999999117A7326000010C083,–,F18,01:20:22,02:44:20,02:44:20
4,4,4,"Pennel, Tyler (USA)",999999117A7326000010B60E,–,35,01:08:31,02:18:57,02:18:57
278,4,3,"Hyland, Rachel (USA)",999999117A7326000010B3FE,Boston Athletic Association,F30,01:22:13,02:44:29,02:44:29
5,5,5,"Bumbalough, Andrew (USA)",999999117A7326000010C092,–,27,01:07:36,02:19:52,02:19:52
317,5,4,"Chichester, Jessica (USA)",999999117A7326000010732C,Dashing Whippets,2094,01:21:50,02:45:23,02:46:52
6,6,6,"Smith, Scott (USA)",999999117A7326000010C09C,–,26,01:07:36,02:21:47,02:21:47
338,6,5,"Dimercurio, Nicole (USA)",999999117A7326000010BA17,–,F25,01:20:30,02:45:52,02:45:52
7,7,7,"Nageeye, Abdi (NED)",999999117A7326000010C0A2,–,12,01:06:01,02:23:16,02:23:16
361,7,6,"Flanagan, Shalane (USA)",999999117A7326000010C071,–,F5,01:19:42,02:46:31,02:46:31
8,8,8,"Kibet, Elkanah (USA)",999999117A7326000010C09B,–,23,01:07:36,02:23:37,02:23:37
370,8,7,"Reed, Kimi (USA)",999999117A7326000010A834,–,F26,01:21:37,02:46:47,02:46:47
9,9,9,"Coolsaet, Reid (CAN)",999999117A7326000010C0A3,–,19,01:07:37,02:25:02,02:25:02
392,9,8,"Kiplagat, Edna (KEN)",999999117A7326000010C06F,–,F1,01:19:41,02:47:14,02:47:14
10,10,10,"Vassallo, Daniel (USA)",999999117A7326000010A7F1,Central Mass Striders,48,01:10:57,02:27:50,02:27:50
472,10,9,"Yoshitomi, Hiroko (JPN)",999999117A7326000010BC4E,–,F24,01:19:41,02:48:29,02:48:29
11,11,11,"Daly, Daniel (CRO)",999999117A7326000010A81D,–,104,01:10:58,02:27:54,02:27:54
478,11,10,"Thompson, Joanna (USA)",999999117A7326000010BE5C,–,F32,01:22:13,02:48:31,02:48:31
12,12,12,"Herzig, Matthew (USA)",999999117A7326000010DEC9,The Heartbreakers,248,01:11:08,02:27:55,02:28:03
502,12,2,"Mcmahan, Dot (USA)",999999117A7326000010B6E0,–,F101,01:22:14,02:48:57,02:48:57
13,13,13,"Zywicki, Benjamin (USA)",999999117A7326000010C634,–,979,01:12:04,02:28:02,02:28:06
555,13,11,"Jackson, Veronica (USA)",999999117A7326000010B60B,Central Park Track Club,1400,01:22:03,02:49:41,02:50:12
14,14,14,"Sambu, Stephen (KEN)",999999117A7326000010C08D,–,21,01:06:03,02:28:07,02:28:07
574,14,12,"Snelson, Rebecca (USA)",999999117A7326000010C1F7,–,2309,01:25:30,02:49:50,02:51:32
15,15,1,"Abdirahman, Abdi (USA)",999999117A7326000010C09D,–,17,01:06:13,02:28:18,02:28:18
593,15,13,"Vido, Margaret (USA)",999999117A73260000109DD8,Philadelphia Runner Track Club,F45,01:22:04,02:50:11,02:50:11
16,16,15,"Tapia, Daniel (USA)",999999117A7326000010BACA,–,31,01:08:59,02:28:38,02:28:38
614,16,14,"Huddle, Molly (USA)",999999117A7326000010C082,–,F17,01:19:41,02:50:28,02:50:28
17,17,16,"Schienbein, Tate (USA)",999999117A7326000010D893,–,107,01:10:33,02:28:53,02:28:53
626,17,15,"Alt, Andrea (USA)",999999117A7326000010BA68,–,3566,01:24:44,02:50:41,02:52:42
18,18,17,"Thompson, Christian (USA)",999999117A7326000010C676,–,41,01:13:46,02:29:01,02:29:01
632,18,16,"Fulton, Naomi (USA)",999999117A7326000010A849,–,2239,01:24:07,02:50:48,02:52:03
19,19,18,"Marol, Matt (USA)",999999117A7326000010C84D,–,112,01:12:44,02:29:12,02:29:12
784,19,17,"O'Neil, Kathleen (USA)",999999117A7326000010DA65,Impala Racing Team,1228,01:23:13,02:52:44,02:53:42
20,20,19,"Anderson, Jesse (USA)",999999117A7326000010B2C0,–,122,01:14:50,02:29:19,02:29:19
