place_overall,place_gender,place_division,name,idp,team,bib,half,finish_net,finish_gun
1,1,1,"Korir, John",9TGHS6FF1AF969,–,2,01:01:54,02:04:45,02:04:45
35,1,1,"Lokedi, Sharon",9TGHS6FF1AF9F6,–,117,01:08:46,02:17:22,02:17:22
69,1,–,"Blair, Whit",9TGHS6FF1ACBA5,–,454,01:09:49,02:22:44,02:22:47
2,2,2,"Simbu, Alphonce Felix",9TGHS6FF1AEEAA,–,7,01:01:54,02:05:04,02:05:04
38,2,2,"Obiri, Hellen",9TGHS6FF1AF9F2,–,101,01:08:46,02:17:41,02:17:41
137,2,–,"Prizzi, Avery",9TGHS6FF1AE639,–,278,01:12:24,02:27:01,02:27:20
3,3,3,"Kotut, Cybrian",9TGHS6FF1AF975,–,4,01:01:54,02:05:04,02:05:04
39,3,3,"Yehualaw, Yalemzerf",9TGHS6FF1AF9E3,–,103,01:08:46,02:18:06,02:18:06
190,3,–,"Eaton, Kassian",9TGHS6FF1AB32F,Somerville Road Runners,491,01:14:44,02:29:42,02:30:02
4,4,4,"Mantz, Conner",9TGHS6FF1AF9CD,–,18,01:01:53,02:05:08,02:05:08
57,4,4,"Cheptai, Irine",9TGHS6FF1AF9E4,–,104,01:08:46,02:21:32,02:21:32
321,4,–,"Parts, Winter",9TGHS6FF1AE5A2,–,511,01:14:48,02:32:57,02:32:59
5,5,5,"Edris, Muktar",9TGHS6FF1AF9DE,–,39,01:01:54,02:05:59,02:05:59
60,5,5,"Beriso, Amane",9TGHS6FF1AF9E1,–,102,01:08:46,02:21:58,02:21:58
712,5,–,"Williams, Reed",9TGHS6FF1AC94F,–,2445,01:19:35,02:39:00,02:39:52
6,6,6,"Linkletter, Rory",9TGHS6FF1AF9CF,–,20,01:01:52,02:07:02,02:07:02
66,6,6,"Thackery, Calli",9TGHS6FF1AF9F1,–,112,01:09:36,02:22:38,02:22:38
974,6,–,"Crail, Nate",9TGHS6FF1AFF7C,–,1399,01:20:08,02:41:43,02:42:14
7,7,7,"Young, Clayton",9TGHS6FF1AF9CE,–,19,01:01:53,02:07:04,02:07:04
67,7,7,"Mcclain, Jess",9TGHS6FF1AF9A4,–,131,01:10:08,02:22:43,02:22:43
1132,7,–,"Marshall, Charles",9TGHS6FF1ACE83,–,5927,01:19:48,02:43:08,02:48:12
8,8,8,"Ramakongoana, Tebello",9TGHS6FF1AF9C8,–,12,01:01:54,02:07:19,02:07:19
77,8,8,"Frisbie, Annie",9TGHS6FF1AF9A7,–,134,01:09:41,02:23:21,02:23:21
2641,8,–,"Solle, J",9TGHS6FF1ACA21,Front Runners New York,4342,01:25:20,02:52:01,02:54:13
9,9,9,"Mateiko, Daniel",9TGHS6FF1AF977,–,6,01:01:54,02:07:52,02:07:52
78,9,9,"Ndiwa, Stacy",9TGHS6FF1AF9FB,–,122,01:09:36,02:23:29,02:23:29
3050,9,–,"Eik, David",9TGHS6FF1AAED5,–,556,01:26:46,02:54:15,02:58:00
10,10,10,"Ford, Ryan",9TGHS6FF1AF9D8,–,32,01:03:42,02:08:00,02:08:00
85,10,10,"Haileslase, Tsige",9TGHS6FF1AEFB1,–,113,01:09:35,02:23:43,02:23:43
3764,10,–,"Hamilt, Melanie",9TGHS6FF1AB2D9,–,5562,01:26:48,02:57:06,03:00:31
11,11,11,"Tiernan, Patrick",9TGHS6FF1AF9CB,–,17,01:01:53,02:08:08,02:08:08
97,11,11,"Ngugi, Mary",9TGHS6FF1AF9EA,–,110,01:09:36,02:24:39,02:24:39
3834,11,–,"Sundquist, Emily",9TGHS6FF1AD78D,–,10598,01:28:25,02:57:20,02:58:27
12,12,12,"Kiptoo, Wesley",9TGHS6FF1AF9D4,–,28,01:01:54,02:08:54,02:08:54
99,12,12,"Limo, Cynthia",9TGHS6FF1AF9A1,–,128,01:09:36,02:24:43,02:24:43
3849,12,–,"Hoskins, Charlie",9TGHS6FF1A9627,Front Runners New York,12492,01:30:18,02:57:22,02:59:52
13,13,13,"Kiplangat, Victor",9TGHS6FF1AF9E0,–,9,01:03:20,02:10:13,02:10:13
105,13,13,"Bates, Emma",9TGHS6FF1AF9F3,–,114,01:10:08,02:25:10,02:25:10
4573,13,–,"Caroompas, Jordan",9TGHS6FF1ACB04,–,6243,01:28:41,02:59:38,03:04:43
14,14,14,"Albertson, Cj",9TGHS6FF1AF9D0,–,21,01:03:02,02:10:16,02:10:16
109,14,14,"Cheptoo, Viola",9TGHS6FF1AF9A8,–,116,01:09:36,02:25:23,02:25:23
6058,14,–,"Odom, Jl",9TGHS6FF1ACD21,–,14905,01:29:56,03:06:17,03:13:03
15,15,15,"Jia, Erenjia",9TGHS6FF1AECF9,–,22,01:03:02,02:10:22,02:10:22
113,15,15,"Diriba, Buze",9TGHS6FF1AF9E9,–,109,01:09:36,02:25:59,02:25:59
6296,15,–,"Mills, Byron",9TGHS6FF1AA776,–,11974,01:31:18,03:07:17,03:08:06
16,16,16,"Flavin, Jp",9TGHS6FF1AECBE,Hansons-Brooks Distance Project,42,01:04:54,02:10:50,02:10:50
115,16,16,"Popehn, Dakotah",9TGHS6FF1AF99E,–,125,01:11:03,02:26:09,02:26:09
6612,16,–,"Antiquina, Kester",9TGHS6FF1AA770,Front Runners New York,8144,01:31:31,03:08:27,03:17:09
17,17,17,"Weldlibanos, Tsegay",9TGHS6FF1ABBCE,–,16,01:03:02,02:11:03,02:11:03
123,17,1,"Linden, Desiree",9TGHS6FF1AF9F5,–,118,01:11:44,02:26:19,02:26:19
6672,17,–,"Dunn, Chris",9TGHS6FF1AD4BD,Winners Circle Running Club,4350,01:33:34,03:08:39,03:13:27
18,18,18,"Bennie, Colin",9TGHS6FF1AF9D2,–,24,01:04:54,02:11:46,02:11:46
127,18,2,"Hall, Sara",9TGHS6FF1AF9EC,–,111,01:10:08,02:26:32,02:26:32
6787,18,–,"Knebel, Callan",9TGHS6FF1ADF88,–,15379,01:34:54,03:09:03,03:15:24
19,19,19,"Sweeney, Charlie",9TGHS6FF1AECCD,–,41,01:04:54,02:12:00,02:12:00
131,19,17,"Colley, Tristin",9TGHS6FF1AF9A6,–,133,01:11:39,02:26:39,02:26:39
6909,19,–,"Rubio Barba, Jose Alejandro",9TGHS6FF1B0437,–,17832,01:32:05,03:09:30,03:09:31
20,20,20,"Whelan, Joseph",9TGHS6FF1AED36,Bergen Elite,44,01:04:54,02:12:16,02:12:16
243,20,18,"Vaughn, Sara",9TGHS6FF1AF9F8,–,120,01:12:01,02:31:07,02:31:07
21,21,21,"Fischer, Reed",9TGHS6FF1AF9D3,–,26,01:03:45,02:12:40,02:12:40
276,21,19,"Gaughan, Jacqueline",9TGHS6FF1AF99F,–,126,01:14:39,02:32:07,02:32:07
8094,21,–,"Paynter, Elliot Magic",9TGHS6FF1A9A45,–,10497,01:35:51,03:13:35,03:14:32
22,22,22,"Mickow, Colin",9TGHS6FF1AECBF,–,34,01:04:54,02:13:01,02:13:01
280,22,20,"Rooker, Gabriella",9TGHS6FF1AF9FC,–,123,01:12:03,02:32:13,02:32:13
8417,22,–,"Howard, Teresa",9TGHS6FF1AA536,–,16504,01:36:43,03:14:36,03:23:36
23,23,23,"Shrader, Brian",9TGHS6FF1AF0AC,–,25,01:04:55,02:13:10,02:13:10
289,23,21,"Partridge, Lily",9TGHS6FF1AF9A2,–,129,01:11:40,02:32:19,02:32:19
8546,23,–,"Rodarte, Julio",9TGHS6FF1AA118,–,15845,01:34:28,03:14:58,03:21:25
24,24,24,"Miranda, Robert",9TGHS6FF1AF9DD,–,38,01:04:24,02:13:41,02:13:41
342,24,22,"Reiter, Sarah",9TGHS6FF1AECD6,–,142,01:16:34,02:33:33,02:33:33
8808,24,–,"Brydges, Michael",9TGHS6FF1AEF13,–,32387,01:35:38,03:15:48,03:25:06
25,25,25,"Heslington, Jacob",9TGHS6FF1AA27C,–,51,01:05:25,02:13:51,02:13:51
354,25,1,"Mcmahan, Dot",9TGHS6FF1AED61,Hansons-Brooks Distance Project,165,01:15:07,02:33:43,02:33:43
9098,25,–,"Rodríguez Hernández, Alejandro Benjamín",9TGHS6FF1A911D,–,13406,01:30:59,03:16:44,03:20:17
26,26,26,"Fukuda, Yudai",9TGHS6FF1AF928,–,56,01:04:55,02:13:57,02:13:57
378,26,23,"Smith, Mimi",9TGHS6FF1AA9C1,–,147,01:16:11,02:34:04,02:34:04
9790,26,–,"Anthony, Erin",9TGHS6FF1AB49D,–,17542,01:37:39,03:18:55,03:19:02
27,27,27,"Wiley, Turner",9TGHS6FF1AED48,–,35,01:04:54,02:14:31,02:14:31
389,27,24,"Bogantes Gonzalez, Diana",9TGHS6FF1AF298,–,143,01:15:09,02:34:15,02:34:15
9940,27,–,"Dill, Nicholas",9TGHS6FF1AC77D,Front Runners New York,5791,01:28:38,03:19:20,03:25:18
28,28,28,"Tewelde, Tesfu",9TGHS6FF1AECC3,–,27,01:03:43,02:14:55,02:14:55
414,28,25,"Raftis, Kylee",9TGHS6FF1AE146,–,167,01:16:21,02:34:41,02:34:41
10723,28,–,"Barón Avila, Wilson",9TGHS6FF1B0A31,–,13711,01:32:29,03:21:59,03:25:34
29,29,29,"Kendell, Ben",9TGHS6FF1ABF2E,Hansons-Brooks Distance Project,50,01:05:39,02:15:20,02:15:20
415,29,26,"Hannah, Rachel",9TGHS6FF1AED5B,–,148,01:16:11,02:34:42,02:34:42
10797,29,–,"Rankin, Sean",9TGHS6FF1A90DB,–,15797,01:39:48,03:22:13,03:30:11
