place_overall,place_gender,place_division,name,idp,team,bib,half,finish_net,finish_gun
4832,4457,2949,"Rhodes, Paul",9TGHS6FF1827B7,–,5365,01:30:46,03:03:00,03:05:41
14249,4457,2758,"Graham, Lyla",9TGHS6FF17DBAB,–,17633,01:44:03,03:37:14,03:38:12
14250,4458,870,"Gotthardt, Rebecca",9TGHS6FF17D4F3,–,14636,01:46:03,03:37:15,03:41:53
4833,4458,415,"Janicek, Josh",9TGHS6FF181428,–,8496,01:25:25,03:03:00,03:03:10
14251,4459,871,"Nguyen, Quynh",9TGHS6FF183AEE,–,12283,01:47:48,03:37:15,03:39:37
4835,4459,2950,"Gordon, Joshua",9TGHS6FF182C12,–,6498,01:25:15,03:03:00,03:06:24
14254,4460,2759,"Masopust, Alison",9TGHS6FF17C8B6,–,13320,01:40:08,03:37:15,03:42:19
4836,4460,2951,"Piran, Mattia",9TGHS6FF17CDD9,–,5071,01:28:59,03:03:00,03:05:14
4837,4461,2952,"Pan, Mark",9TGHS6FF180001,–,4162,01:29:30,03:03:00,03:05:19
14255,4461,2760,"Carpenter, Jenna",9TGHS6FF182440,–,16491,01:48:11,03:37:16,03:37:29
14256,4462,872,"Hannon, Julie",9TGHS6FF17C6E7,–,17760,01:39:05,03:37:16,03:38:03
4839,4462,2953,"Kitchen, William",9TGHS6FF17EC8F,–,3325,01:27:13,03:03:01,03:05:44
4840,4463,2954,"Rubens, Craig",9TGHS6FF17F0F2,–,8243,01:28:23,03:03:01,03:03:15
14257,4463,212,"Black, Sara",9TGHS6FF17FDE9,–,9025,01:49:32,03:37:16,03:41:08
4841,4464,820,"Goni Hernandez, Fernando",9TGHS6FF182B80,–,6930,01:30:23,03:03:01,03:06:44
14258,4464,2761,"Flannery, Emma",9TGHS6FF17D8BB,–,16059,01:47:50,03:37:16,03:38:00
14262,4465,2762,"Kriger, Gina",9TGHS6FF17CE08,–,17596,01:40:30,03:37:17,03:38:42
4842,4465,821,"Mill, William",9TGHS6FF17F669,–,9381,01:29:39,03:03:01,03:03:32
14263,4466,873,"Low, Kate",9TGHS6FF182FD2,–,11787,01:47:49,03:37:17,03:39:38
4844,4466,822,"Sanchez, Reinaldo",9TGHS6FF183229,–,9008,01:30:41,03:03:02,03:03:35
4845,4467,823,"Kievit, Forrest",9TGHS6FF183395,–,2825,01:28:57,03:03:03,03:03:55
14264,4467,520,"Lenouvel, Christine",9TGHS6FF17DD9A,–,21778,01:48:46,03:37:17,03:42:31
4846,4468,2955,"Bednarz, Steven",9TGHS6FF17ECE9,–,3276,01:30:25,03:03:04,03:04:38
14269,4468,2763,"Dekorte, Jamie",9TGHS6FF181F29,–,16359,01:43:08,03:37:18,03:37:27
4847,4469,50,"Quon, Howard",9TGHS6FF17C927,–,9438,01:30:42,03:03:04,03:03:37
14270,4469,874,"Boltz, Janet",9TGHS6FF18320A,–,17779,01:48:54,03:37:18,03:38:28
4849,4470,2956,"Shen, Jianhui",9TGHS6FF182FCA,Misty Mountain Runners,3925,01:31:41,03:03:04,03:05:37
14271,4470,875,"Reed, Kara",9TGHS6FF17F2C6,–,19762,01:47:19,03:37:19,03:41:37
4850,4471,416,"Mullen, Robert",9TGHS6FF182825,–,4870,01:28:09,03:03:05,03:04:59
14281,4471,876,"Mitchell, Kirsty",9TGHS6FF18376F,–,19531,01:39:17,03:37:21,03:38:54
14284,4472,877,"Knoller, Tamar",9TGHS6FF17C95C,–,20577,01:47:28,03:37:21,03:44:14
4852,4472,824,"Ronan, Kurt",9TGHS6FF17DE57,–,4755,01:26:23,03:03:05,03:05:00
4853,4473,2957,"Leiken, Benjamin",9TGHS6FF17FC49,–,6018,01:28:14,03:03:06,03:06:46
14286,4473,2764,"Mauser, Samantha",9TGHS6FF17F930,–,12479,01:47:01,03:37:22,03:39:37
4854,4474,825,"Shelub, Nathan",9TGHS6FF1827E7,–,5864,01:29:11,03:03:06,03:06:29
14288,4474,2765,"Sandoval Ruiz, Rosa Ivette",9TGHS6FF18330B,–,5884,01:30:08,03:37:22,03:39:48
14289,4475,213,"Massy, Kim",9TGHS6FF17E49E,–,18823,01:44:48,03:37:22,03:38:35
4855,4475,826,"Tam, Benny",9TGHS6FF1838A6,–,5887,01:30:09,03:03:06,03:06:31
14291,4476,2766,"Detwiler, Stephanie",9TGHS6FF182518,–,19102,01:49:39,03:37:23,03:42:06
4856,4476,2958,"Shannon, Todd",9TGHS6FF17D471,–,8412,01:28:21,03:03:07,03:03:14
14292,4477,72,"Odell, Deanna",9TGHS6FF17CF96,–,21787,01:47:30,03:37:23,03:43:34
4858,4477,827,"Dorn, Tyler",9TGHS6FF17D1F9,–,6318,01:30:57,03:03:07,03:06:38
14293,4478,878,"Graham, Ruth",9TGHS6FF17EFCE,–,13776,01:47:35,03:37:24,03:39:20
4859,4478,828,"Flores, Enrique",9TGHS6FF17F5AF,–,4080,01:29:55,03:03:07,03:05:06
4860,4479,2959,"Schneider, Grant",9TGHS6FF17F176,–,7179,01:29:24,03:03:07,03:07:04
14294,4479,521,"Devreese, Monica",9TGHS6FF182DED,–,21785,01:47:30,03:37:24,03:43:34
4862,4480,417,"Shannon, Scott",9TGHS6FF17DA80,–,9984,01:32:30,03:03:08,03:03:46
14295,4480,214,"Rogers, Stacey",9TGHS6FF17CB49,–,19989,01:47:35,03:37:24,03:39:20
14297,4481,879,"Wrenn, Katie",9TGHS6FF18393E,–,19569,01:49:25,03:37:25,03:39:14
4863,4481,2960,"Crouch, Keith",9TGHS6FF18354A,–,6327,01:28:54,03:03:09,03:08:19
14301,4482,2767,"Dolan, Jessica",9TGHS6FF17D923,–,11310,01:44:59,03:37:25,03:39:37
4865,4482,2961,"King, Gregory",9TGHS6FF1829E8,–,5336,01:28:12,03:03:09,03:05:57
14302,4483,880,"Mitchell, Lindsay",9TGHS6FF17F49C,–,18353,01:44:03,03:37:26,03:38:27
4866,4483,829,"Mrva, Tomáš",9TGHS6FF17F78F,–,8165,01:29:29,03:03:09,03:03:13
4867,4484,830,"Castano, Neremiah Joakim",9TGHS6FF182E3F,–,3943,01:29:27,03:03:10,03:04:51
14303,4484,2768,"Thompson, Krystal",9TGHS6FF182035,–,13784,01:50:09,03:37:26,03:43:24
14304,4485,2769,"Kohanzad, Diana",9TGHS6FF183B4D,–,16686,01:42:17,03:37:26,03:37:41
4868,4485,831,"Fullwood, Earnest",9TGHS6FF183B34,–,3494,01:29:04,03:03:10,03:04:54
4869,4486,418,"Parker, William",9TGHS6FF18384F,–,6267,01:29:29,03:03:10,03:06:30
14305,4486,2770,"Pinheiro, Mariana",9TGHS6FF17F359,–,16617,01:47:15,03:37:26,03:37:39
14306,4487,215,"Reardon, Christine",9TGHS6FF182D84,–,21746,01:47:42,03:37:26,03:41:13
4870,4487,2962,"Hatzopoulos, Timothy",9TGHS6FF17DADB,–,2452,01:27:11,03:03:10,03:04:06
14310,4488,216,"Gilgan, Holly",9TGHS6FF17DBA4,–,19786,01:48:20,03:37:29,03:39:02
4871,4488,208,"Hammond, Mike",9TGHS6FF17C926,–,7454,01:29:28,03:03:11,03:07:33
4872,4489,2963,"Hoffman, John",9TGHS6FF18399F,–,5211,01:28:05,03:03:11,03:06:06
14311,4489,522,"Pampuch, Julie",9TGHS6FF17D593,–,20410,01:45:25,03:37:29,03:40:02
4873,4490,419,"Muñoz Maestre, Raul",9TGHS6FF181B5C,–,9268,01:30:30,03:03:11,03:03:49
14312,4490,881,"Gibson, Colleen",9TGHS6FF17D284,–,19325,01:44:37,03:37:29,03:38:17
4875,4491,420,"Weng, Ray",9TGHS6FF183A3D,–,3057,01:28:43,03:03:11,03:09:17
14314,4491,217,"Watkins, Lorraine",9TGHS6FF17D9A7,–,21033,01:48:47,03:37:30,03:44:25
4876,4492,2964,"Clason, Spencer",9TGHS6FF17E831,–,4458,01:29:12,03:03:11,03:05:38
14316,4492,73,"Preisig, Anne",9TGHS6FF17EC89,–,20581,01:45:24,03:37:31,03:42:03
14317,4493,523,"Baer, Danielle",9TGHS6FF1831C8,–,17737,01:46:46,03:37:31,03:40:24
4877,4493,2965,"Sprague, Vincent",9TGHS6FF17F32E,–,4044,01:23:58,03:03:11,03:05:28
14318,4494,2771,"Wilson, Ann",9TGHS6FF181A84,–,25563,01:45:10,03:37:32,03:38:31
4878,4494,209,"Dieguez, Luis",9TGHS6FF17DDF0,–,11766,01:26:54,03:03:11,03:04:49
14319,4495,882,"Bosanko, Lori",9TGHS6FF17F632,–,16249,01:43:38,03:37:32,03:38:49
4879,4495,832,"White, Justin",9TGHS6FF17F575,–,8550,01:29:48,03:03:12,03:03:21
14321,4496,2772,"Von Csiky-Sessoms, Stephanie",9TGHS6FF17FD9F,–,17576,01:39:44,03:37:32,03:38:11
4880,4496,2966,"Hong, Eric",9TGHS6FF182290,–,3346,01:30:20,03:03:12,03:04:47
14322,4497,883,"Faille, Lisa",9TGHS6FF182D9C,–,19985,01:47:15,03:37:33,03:42:25
4882,4497,833,"Oshiro, Makanaokalani",9TGHS6FF17DCD3,–,9018,01:29:39,03:03:13,03:04:04
14327,4498,2773,"Leckrone, Ashton",9TGHS6FF18392D,–,12092,01:50:11,03:37:34,03:40:27
4883,4498,2967,"Smadbeck, James",9TGHS6FF1824EE,–,7082,01:30:33,03:03:13,03:03:51
14329,4499,2774,"Kelley, Katelyn",9TGHS6FF17DC37,–,17285,01:44:33,03:37:34,03:43:40
4884,4499,421,"Ponte, Leandro",9TGHS6FF183760,–,9418,01:30:53,03:03:13,03:03:14
4885,4500,422,"Batista, Antônio José",9TGHS6FF1821E3,–,6847,01:29:10,03:03:13,03:06:34
14330,4500,524,"Kohler, Yumary",9TGHS6FF17D085,–,19114,01:48:25,03:37:34,03:40:35
4886,4501,834,"Manjarrez, Jorge",9TGHS6FF18221D,–,6187,01:29:12,03:03:13,03:06:18
14331,4501,525,"Bertrand, Judith",9TGHS6FF17DCFD,–,17485,01:41:13,03:37:34,03:38:13
14333,4502,884,"Vanourny, Jaime",9TGHS6FF18272B,–,19879,01:49:36,03:37:35,03:39:16
4887,4502,423,"Subramanian, Mani",9TGHS6FF17DD18,–,7330,01:28:20,03:03:13,03:08:12
4888,4503,424,"Pincince, Jonathan",9TGHS6FF183B7A,–,7159,01:29:09,03:03:13,03:07:33
14334,4503,2775,"Proulx, Véronique",9TGHS6FF18001E,–,12797,01:47:09,03:37:35,03:40:00
4889,4504,2968,"Larson, Eric",9TGHS6FF1838CD,–,8681,01:28:42,03:03:14,03:03:28
14335,4504,526,"Wu, Chiu Hsiang",9TGHS6FF17E329,–,14958,01:42:54,03:37:35,03:41:39
4890,4505,2969,"Martinez, Tomas",9TGHS6FF180595,–,29144,01:30:26,03:03:15,03:11:38
14338,4505,2776,"Wiskerke, Mathilde",9TGHS6FF181056,–,25225,01:47:41,03:37:35,03:39:22
14339,4506,218,"Smoot, Cindy",9TGHS6FF17EEBB,–,22265,01:44:27,03:37:36,03:42:08
4892,4506,835,"Goldstein, Adam",9TGHS6FF183001,Gate City Striders,3017,01:28:56,03:03:15,03:04:54
4895,4507,210,"Batista Pinto, Alexandre",9TGHS6FF17D6E5,–,6131,01:29:34,03:03:15,03:06:30
14340,4507,219,"Hubert, Tracy",9TGHS6FF17DC06,–,11478,01:42:58,03:37:36,03:40:07
4896,4508,211,"Inman, Charles",9TGHS6FF17E500,–,3756,01:33:35,03:03:15,03:04:39
14341,4508,220,"Plante, Lisa",9TGHS6FF182684,–,21302,01:48:20,03:37:36,03:40:31
14342,4509,885,"Lasda, Bridget",9TGHS6FF17E5E7,–,20696,01:45:58,03:37:37,03:42:32
4898,4509,2970,"Smith, Lindsay",9TGHS6FF18012C,Boston Athletic Association,1005,01:32:44,03:03:16,03:03:53
14343,4510,2777,"Mullins, Amanda",9TGHS6FF17DB71,–,16898,01:44:59,03:37:37,03:37:49
4899,4510,2971,"Knox, William",9TGHS6FF1825F4,–,2642,01:32:01,03:03:16,03:04:12
4901,4511,2972,"Schiavone, Louis",9TGHS6FF17FCCF,–,5772,01:29:48,03:03:17,03:06:05
14346,4511,2778,"Boley, Laura",9TGHS6FF180DF7,–,18593,01:47:24,03:37:37,03:38:55
4904,4512,836,"Ponce-Ramirez, Carlos",9TGHS6FF17CA14,–,6816,01:30:09,03:03:18,03:06:29
14347,4512,527,"Griggs, Taesha",9TGHS6FF1823DB,–,19926,01:46:41,03:37:37,03:39:39
14348,4513,528,"Wolff, Hannah",9TGHS6FF183A9C,–,16609,01:46:11,03:37:37,03:37:46
4905,4513,837,"Swanson, Larry",9TGHS6FF180034,–,1848,01:22:09,03:03:18,03:03:52
14351,4514,529,"Desimone, Kristen",9TGHS6FF17E6FA,–,20870,01:44:54,03:37:38,03:41:49
4906,4514,51,"Bunker, Christopher",9TGHS6FF181E3F,–,6445,01:30:18,03:03:18,03:06:12
14352,4515,530,"Murphy, Bree",9TGHS6FF180F37,–,19614,01:49:42,03:37:38,03:39:11
4907,4515,2973,"Arango Arboleda, Victor",9TGHS6FF1835AA,–,4241,01:24:27,03:03:18,03:05:26
14354,4516,2779,"Jennings, Kristina",9TGHS6FF17DD2C,–,14863,01:43:21,03:37:39,03:43:16
4908,4516,2974,"Loose, Michael",9TGHS6FF17F016,–,6846,01:31:25,03:03:19,03:06:45
4909,4517,2975,"Omokha, Daniel",9TGHS6FF183028,–,8123,01:30:36,03:03:20,03:03:28
14358,4517,886,"Weng, Hong",9TGHS6FF1807AC,–,19830,01:46:43,03:37:40,03:39:24
14359,4518,531,"Dabler, Colleen",9TGHS6FF17F6B5,–,19955,01:49:45,03:37:40,03:44:03
4910,4518,2976,"Given, Michael",9TGHS6FF17FCCC,–,1550,01:30:51,03:03:20,03:06:18
4911,4519,2977,"Rocha, Joao",9TGHS6FF17FFA1,–,6572,01:30:17,03:03:20,03:07:08
14360,4519,2780,"Meeds, Kathleen",9TGHS6FF17ED57,–,17878,01:43:47,03:37:40,03:38:05
14361,4520,221,"Abraham, Suzanne",9TGHS6FF17E7A5,–,18931,01:45:09,03:37:40,03:39:45
4912,4520,425,"Silva, Leonardo",9TGHS6FF17CAAC,–,9393,01:29:12,03:03:20,03:03:54
4913,4521,2978,"Black, Joseph",9TGHS6FF17CCBF,–,5311,01:29:02,03:03:20,03:05:40
14362,4521,2781,"Farren, Brenna",9TGHS6FF17DE05,–,18086,01:44:26,03:37:41,03:43:49
4914,4522,2979,"Fairbairn, Sean",9TGHS6FF18344F,–,8422,01:30:50,03:03:21,03:03:30
14363,4522,532,"Chen, Jingjing",9TGHS6FF183987,–,17681,01:46:51,03:37:41,03:42:04
4916,4523,838,"Defour, Akil",9TGHS6FF17FC42,–,3672,01:29:35,03:03:21,03:04:58
14366,4523,887,"Prucino, Victoria",9TGHS6FF17DCD1,–,18368,01:44:26,03:37:41,03:38:56
14367,4524,533,"Lyde, Marieper",9TGHS6FF17C715,–,21095,01:48:58,03:37:41,03:40:30
4917,4524,212,"Nicholls, Steven",9TGHS6FF17F27F,–,11292,01:29:34,03:03:21,03:04:46
4918,4525,2980,"Deline, David",9TGHS6FF17C65E,–,6192,01:27:35,03:03:21,03:05:48
14369,4525,534,"Ashlock, Susan",9TGHS6FF17F589,–,15018,01:44:13,03:37:42,03:42:47
14370,4526,888,"Zanes, Nikkol",9TGHS6FF17D371,–,16198,01:41:31,03:37:42,03:37:42
