School,Number of Regional Entries,Number of National Qualifiers,Number of Outperformers,Distinct Events,Percent Qualifying,Percent Outperforming,Percent Events Represented,Number of Regional Entries (Scaled),Overall Score
Alabama,6,4,2,3,0.6666666666666666,0.3333333333333333,0.5,0.4166666666666667,0.47916666666666663
Wake Forest,5,3,4,3,0.6,0.8,0.5,0.3333333333333333,0.5583333333333333
IA State,7,4,3,3,0.5714285714285714,0.42857142857142855,0.5,0.49999999999999994,0.5
BYU,8,4,3,3,0.5,0.375,0.5,0.5833333333333333,0.4895833333333333
OK State,6,3,3,2,0.5,0.5,0.3333333333333333,0.4166666666666667,0.4375
