School,Number of Regional Entries,Number of National Qualifiers,Number of Outperformers,Distinct Events,Percent Qualifying,Percent Outperforming,Percent Events Represented,Number of Regional Entries (Scaled),Overall Score
New Mexico,9,4,2,3,0.4444444444444444,0.2222222222222222,0.5,1.0,0.5416666666666666
No. Arizona,9,3,7,3,0.3333333333333333,0.7777777777777778,0.5,1.0,0.6527777777777778
BYU,8,3,2,3,0.375,0.25,0.5,0.875,0.5
Notre Dame,8,0,4,2,0.0,0.5,0.3333333333333333,0.875,0.4270833333333333
Utah,7,2,4,3,0.2857142857142857,0.5714285714285714,0.5,0.75,0.5267857142857142
