School,Number of Regional Entries,Number of National Qualifiers,Number of Outperformers,Distinct Events,Percent Qualifying,Percent Outperforming,Percent Events Represented,Number of Regional Entries (Scaled),Overall Score
TX A&M,5,2,5,3,0.4,1.0,0.5,0.5,0.6
Washington,5,3,5,3,0.6,1.0,0.5,0.5,0.65
OK State,6,2,5,2,0.3333333333333333,0.8333333333333334,0.3333333333333333,0.625,0.53125
Virginia,5,2,4,2,0.4,0.8,0.3333333333333333,0.5,0.5083333333333334
No. Arizona,9,3,7,3,0.3333333333333333,0.7777777777777778,0.5,1.0,0.6527777777777778
