position,name,school,year,time,split,position_change_in_split,points
1,Graham Blanks,Harvard,SR,28:37.2,2:45.3,-1,1
2,Habtom Samuel,New Mexico,SO,28:38.9,2:44.2 | +1.8,-1,2
3,Dylan Schubert,Furman,SR,28:39.6,2:43.1 | +2.5,1,3
4,Yaseen Abdalla,Arkansas,SR,28:41.5,2:45.2 | +4.4,1,4
5,Brian Musau,Oklahoma State,SO,28:44.9,2:47.2 | +7.7,2,5
6,Casey Clinger,BYU,SR,28:45.1,2:47.8 | +8.0,-1,6
7,Parker Wolfe,North Carolina,SR,28:50.2,2:53.3 | +13.1,2,7
8,Ethan Strand,North Carolina,SR,28:53.0,2:50.9 | +15.9,-1,8
9,Liam Murphy,Villanova,SR,28:55.7,2:49.6 | +18.6,3,9
10,Said Mechaal,Iowa State,SR,28:59.8,2:52.8 | +22.7,3,10
11,Denis Kipngetich,Oklahoma State,SO,29:00.4,2:55.8 | +23.2,2,11
12,Creed Thompson,BYU,SR,29:01.5,2:55.7 | +24.4,1,12
13,Gary Martin,Virginia,JR,29:02.3,2:56.7 | +25.1,3,13
14,George Couttie,Virginia Tech,SO,29:07.4,2:49.0 | +30.3,3,14
15,Marco Langon,Villanova,JR,29:08.8,2:47.9 | +31.7,7,15
16,Bob Liking,Wisconsin,SR,29:09.2,2:52.9 | +32.0,2,16
17,William Zegarski,Butler,SO,29:09.8,2:50.0 | +32.7,2,17
18,David Mullarkey,Northern Arizona,SR,29:11.9,2:52.8 | +34.7,-1,18
19,Allan Kiplagat,Mid. Tenn. State,FR,29:12.8,2:55.1 | +35.7,3,-1
20,Kirami Yego,Arkansas,SR,29:13.7,2:52.3 | +36.6,4,19
21,Patrick Kiprop,Arkansas,SR,29:15.7,2:58.8 | +38.6,6,20
22,Matt Strangio,Portland,SR,29:16.5,2:44.9 | +39.3,18,-1
23,Sanele Masondo,Iowa State,SR,29:16.8,2:55.6 | +39.7,-1,21
24,Izaiah Steury,Notre Dame,SO,29:17.1,2:56.2 | +39.9,3,22
25,Camren Todd,Utah State,SR,29:17.4,2:50.0 | +40.3,2,23
26,Zouhair Redouane,CBU,FR,29:18.8,2:49.6 | +41.7,5,24
27,Dylan Throop,Penn,SR,29:19.6,2:59.3 | +42.4,7,-1
28,Sam Lawler,Syracuse,JR,29:20.6,2:48.6 | +43.4,14,25
